SKU;longDescription;Categorie;sous_categorie;manufacturer;stock_disponible;minimum_order_quantity;prix_stm_HT;prix_public_HT
SG-RS51-LNYD-01;RS5100 Lanyard Trigger Assembly.  Requires separate purchase of SG-RS51-RLYD1-01 for neck or hip mounting.. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;10;1;94.47;118.09
SG-RS51-CMPD-05;RS5100 REPLACEMENT COMFORT PAD FOR SINGLE SIDED TRIGGER, 5 PACK. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;179;1;40.49;50.61
SG-RS51-RLYD1-01;RS5100 Retractor with Magnetic Recoil, for use with RS51B0-LBLNWR, RS51B0-TBLNWR or SG-RS51-LNYD-01. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;34;1;94.47;118.09
SG-RS51-BHSTP-01;Replacement strap for back of hand mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;15.32;19.68
SG-RS51-HNMTLL-01;Glove, left, size: L, incl.: mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;3;1;123.99;159.21
SG-RS51-HNWPRL-01;Glove, right, size: L, order separately: mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;6;1;45.45;58.37
SG-RS51-HNWPRM-01;Glove, right, size: M, order separately: mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;67;1;45.45;58.37
SG-RS51-HNWPRS-01;Spare Hand Wrap for RS5100, Right Hand Small RESTRICTED ITEM CLASS 4, REQUIRED CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;35;1;46.7;58.37
SG-RS51-HNMTLM-01;Hand Mount for RS5100, Left Hand Medium, Includes Frame, Trigger and Hand Wrap RESTRICTED ITEM CLASS 4, REQUIRED CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;40;1;127.36;159.21
SG-RS51-HNMTLS-01;Glove, left, size: S, incl.: mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;123.99;159.21
SG-RS51-HNMTRL-01;Glove, right, size: L, incl.: mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;123.99;159.21
SG-RS51-HNMTRM-01;Glove, right, size: M, incl.: mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;123.99;159.21
SG-RS51-HNMTRS-01;Hand Mount for RS5100, Right Hand Small, Includes Frame, Trigger and Hand Wrap RESTRICTED ITEM CLASS 4, REQUIRED CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;2;1;127.36;159.21
SG-RS51-HNWPLL-01;Glove, left, size: L, order separately: mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;45.45;58.37
SG-RS51-HNWPLM-01;Glove, left, size: M, order separately: mount, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;12;1;45.45;58.37
SG-RS51-HNWPLS-01;Spare Hand Wrap for RS5100, Left Hand Small RESTRICTED ITEM CLASS 4, REQUIRED CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;89;1;46.7;58.37
SG-RS51-TRGDS-01;Zebra spare trigger, double sided, fits for: RS5100;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;12;1;91.95;118.09
SG-RS51-TRGDU-01;RS5100 Spare Trigger Assembly, Double Sided, USB-C  RESTRICTED ITEM CLASS 4, REQUIRED CORRESPONDING CERTIFICATION.;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;13;1;112.46;140.58
SG-RS51-TRGSS-02;RS5100 SPARE TRIGGER ASSEMBLY, SINGLE SIDED, INCLUDES COMFORT PAD AND NYLON STRAP, INCREASED PULL FORCE RESTRICTED ITEM CLASS 4, REQUIRED CORRESPONDING CERTIFICATION.;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;72;0;94.47;118.09
CRD-NGRS-10SCH-02;Charging station, 10 slots, order separatly: power supply, DC cable, power cord, for: RS6000;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;884.05;1135.32
CRD-NGRS-5S5BC-02;RS6000 5SLOT CHARGE ONLY SHARECRADLE W/SPARE BATTERY CHARGER, ALLOWS TO CHARGE 5 RING SCANNERS AND 5 SPARE BATTERIES. REQUIRES DC LINE CORD 50-16002-029R AND GROUNDED COUNTRY SPECIFIC AC LINE CORD, SOLD SEPARATELY. RESTRICTED ITEM CLASS 4, REQUIRED C;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;3;1;908.25;1135.32
SG-NGRS-STBKLV-10;RS6000 SPARE BUCKLES FOR VELCRO FINGER STRAP  10-PACK . ORDER VELCRO FINGER STRAPS SEPARATELY, USE ONE BUCKLE WITH TRIGGER CONFIGURATION AND TWO BUCKLES WITH TRIGGER-LESS CONFIGURATION.;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;4;1;26.99;33.74
SG-NGRS-TRLH-01;Strap holder, fits for: RS6000;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;34;1;35.02;44.98
SG-NGRS-CMPD-01;RS6000 Replacement Comfort Pads, To Be Used With Manual Trigger And Trigger-Less Configurations;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;2;1;13.93;17.4
SG-NGRS-STRP2VK-10;Replacement straps, pack of 10, fits for: RS6X00 (without trigger);Accessoires;;ZEBRA;4;1;135.75;174.34
SG-NGRS-TRGA-01;Replacement trigger, fits for: RS6000;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;96.34;123.71
CHG-ET5X-CBL2-01;RUGGED CHARGE CONNECTOR  CHARGE ONLY DONGLE  - POWER SUPPLY AND COUNTRY SPECIFIC AC LINE CORD SOLD SEPARATELY;Terminaux mobiles;Tablettes;ZEBRA;334;1;86.39;107.99
SG-RFD90-HLSTR1-01;Rigid Holster, incl.: belt clip, fits for: RFD90;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;84.28;105.51
CRD-ET5X-1SCOM2R;1-SLOT DOCK WITH RUGGED IO ADAPTER: HDMI, ETHERNET, 3XUSB 3.0, REQUIRES POWER SUPPLY PWRBGA12V50W0WW, DC CABLE CBL-DC-388A1-01 AND 3 WIRE COUNTRY SPECIFIC AC LINE CORD SOLD SEPARATELY;Terminaux mobiles;Tablettes;ZEBRA;56;1;580.34;725.42
58-40000-007R;Universal shoulder strap.;Accessoires;;ZEBRA;755;1;13.22;16.53
